Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = Mountain_Car
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
........Model Checking complete. No error nodes found.Total states: 12049

End of exploration 12048 | Exploration time: 3.844869873 seconds
Update 41400 | last delta: 0.10097379000000006
Update 41500 | last delta: 0.06561
Update 41600 | last delta: 0.10097379000000006
Update 41700 | last delta: 0.10097379000000006
Update 41800 | last delta: 0.047829690000000036
Update 41900 | last delta: 0.05904900000000002
Update 42000 | last delta: 0.08100000000000002
Update 42100 | last delta: 0.05904900000000002
Update 42200 | last delta: 0.10097379000000006
Update 42300 | last delta: 0.09087641099999999
Update 42400 | last delta: 0.12465900000000002
Update 42500 | last delta: 0.13851000000000002
Update 42600 | last delta: 0.047829690000000036
Update 42700 | last delta: 0.05314410000000003
Update 42800 | last delta: 0.06561
Update 42900 | last delta: 0.12465900000000002
Update 43000 | last delta: 0.11219310000000005
Update 43100 | last delta: 0.10097379000000006
Update 43200 | last delta: 0.11219310000000005
Update 43300 | last delta: 0.07290000000000002
Update 43400 | last delta: 0.11219310000000005
Update 43500 | last delta: 0.043046720999999954
Update 43600 | last delta: 0.14402051100000002
Update 43700 | last delta: 0.12465900000000002
Update 43800 | last delta: 0.10097379000000006
Update 43900 | last delta: 0.12465900000000002
Update 44000 | last delta: 0.12465900000000002
Update 44100 | last delta: 0.03874204889999999
Update 44200 | last delta: 0.047829690000000036
Update 44300 | last delta: 0.10097379000000006
Update 44400 | last delta: 0.10097379000000006
Update 44500 | last delta: 0.11219310000000005
Update 44600 | last delta: 0.09087641099999999
Update 44700 | last delta: 0.09087641099999999
Update 44800 | last delta: 0.19755900000000004
Update 44900 | last delta: 0.12465900000000002
Update 45000 | last delta: 0.10097379000000006
Update 45100 | last delta: 0.10097379000000006
Update 45200 | last delta: 0.05314410000000003
Update 45300 | last delta: 0.05314410000000003
Update 45400 | last delta: 0.06561
Update 45500 | last delta: 0.11219310000000005
Update 45600 | last delta: 0.09
Update 45700 | last delta: 0.05314410000000003
Update 45800 | last delta: 0.12465900000000002
Update 45900 | last delta: 0.10097379000000006
Update 46000 | last delta: 0.17780310000000005
Update 46100 | last delta: 0.10097379000000006
Update 46200 | last delta: 0.16002279000000008
Update 46300 | last delta: 0.09087641099999999
Update 46400 | last delta: 0.043046720999999954
Update 46500 | last delta: 0.12465900000000002
Update 46600 | last delta: 0.043046720999999954
Update 46700 | last delta: 0.10097379000000006
Update 46800 | last delta: 0.10097379000000006
Update 46900 | last delta: 0.14402051100000002
Update 47000 | last delta: 0.09087641099999999
Update 47100 | last delta: 0.09087641099999999
Update 47200 | last delta: 0.10097379000000006
Update 47300 | last delta: 0.10097379000000006
Update 47400 | last delta: 0.043046720999999954
Update 47500 | last delta: 0.10097379000000006
Update 47600 | last delta: 0.13851000000000002
Update 47700 | last delta: 0.11219310000000005
Update 47800 | last delta: 0.09087641099999999
Update 47900 | last delta: 0.047829690000000036
Update 48000 | last delta: 0.09
Update 48100 | last delta: 0.047829690000000036
Update 48200 | last delta: 0.10097379000000006
Update 48300 | last delta: 0.043046720999999954
Update 48400 | last delta: 0.09087641099999999
Update 48500 | last delta: 0.10097379000000006
Update 48600 | last delta: 0.17780310000000005
Update 48700 | last delta: 0.16002279000000008
Update 48800 | last delta: 0.12961845989999998
Update 48900 | last delta: 0.05314410000000003
Update 49000 | last delta: 0.047829690000000036
Update 49100 | last delta: 0.09087641099999999
Update 49200 | last delta: 0.08178876989999995
Update 49300 | last delta: 0.08178876989999995
Update 49400 | last delta: 0.08178876989999995
Update 49500 | last delta: 0.08178876989999995
Update 49600 | last delta: 0.08178876989999995
Update 49700 | last delta: 0.12961845989999998
Update 49800 | last delta: 0.08178876989999995
Update 49900 | last delta: 0.08178876989999995
Update 50000 | last delta: 0.047829690000000036
Update 50100 | last delta: 0.07360989290999997
Update 50200 | last delta: 0.08178876989999995
Update 50300 | last delta: 0.16002279000000008
Update 50400 | last delta: 0.03874204889999999
Update 50500 | last delta: 0.08178876989999995
Update 50600 | last delta: 0.08178876989999995
Update 50700 | last delta: 0.08100000000000002
Update 50800 | last delta: 0.06561
Update 50900 | last delta: 0.17780310000000005
Update 51000 | last delta: 0.10097379000000006
Update 51100 | last delta: 0.08100000000000002
Update 51200 | last delta: 0.11219310000000005
Update 51300 | last delta: 0.09087641099999999
Update 51400 | last delta: 0.11219310000000005
Update 51500 | last delta: 0.09087641099999999
Update 51600 | last delta: 0.11219310000000005
Update 51700 | last delta: 0.10097379000000006
Update 51800 | last delta: 0.08100000000000002
Update 51900 | last delta: 0.05314410000000003
Update 52000 | last delta: 0.11219310000000005
Update 52100 | last delta: 0.047829690000000036
Update 52200 | last delta: 0.05314410000000003
Update 52300 | last delta: 0.09087641099999999
Update 52400 | last delta: 0.08178876989999995
Update 52500 | last delta: 0.08178876989999995
Update 52600 | last delta: 0.09087641099999999
Update 52700 | last delta: 0.11219310000000005
Update 52800 | last delta: 0.10097379000000006
Update 52900 | last delta: 0.10097379000000006
Update 53000 | last delta: 0.08178876989999995
Update 53100 | last delta: 0.03874204889999999
Update 53200 | last delta: 0.043046720999999954
Update 53300 | last delta: 0.10097379000000006
Update 53400 | last delta: 0.13851000000000002
Update 53500 | last delta: 0.03874204889999999
Update 53600 | last delta: 0.08178876989999995
Update 53700 | last delta: 0.10097379000000006
Update 53800 | last delta: 0.047829690000000036
Update 53900 | last delta: 0.14402051100000002
Update 54000 | last delta: 0.05904900000000002
Update 54100 | last delta: 0.05314410000000003
Update 54200 | last delta: 0.10097379000000006
Update 54300 | last delta: 0.07290000000000002
Update 54400 | last delta: 0.07360989290999997
Update 54500 | last delta: 0.09087641099999999
Update 54600 | last delta: 0.07290000000000002
Update 54700 | last delta: 0.043046720999999954
Update 54800 | last delta: 0.10097379000000006
Update 54900 | last delta: 0.09087641099999999
Update 55000 | last delta: 0.09087641099999999
Update 55100 | last delta: 0.08178876989999995
Update 55200 | last delta: 0.043046720999999954
Update 55300 | last delta: 0.08178876989999995
Update 55400 | last delta: 0.08178876989999995
Update 55500 | last delta: 0.08178876989999995
Update 55600 | last delta: 0.08178876989999995
Update 55700 | last delta: 0.09087641099999999
Update 55800 | last delta: 0.08178876989999995
Update 55900 | last delta: 0.09087641099999999
Update 56000 | last delta: 0.043046720999999954
Update 56100 | last delta: 0.08178876989999995
Update 56200 | last delta: 0.07360989290999997
Update 56300 | last delta: 0.07360989290999997
Update 56400 | last delta: 0.07360989290999997
Update 56500 | last delta: 0.07360989290999997
Update 56600 | last delta: 0.07360989290999997
Update 56700 | last delta: 0.047829690000000036
Update 56800 | last delta: 0.043046720999999954
Update 56900 | last delta: 0.043046720999999954
Update 57000 | last delta: 0.047829690000000036
Update 57100 | last delta: 0.043046720999999954
Update 57200 | last delta: 0.03874204889999999
Update 57300 | last delta: 0.07360989290999997
Update 57400 | last delta: 0.03874204889999999
Update 57500 | last delta: 0.11665661390999993
Update 57600 | last delta: 0.10499095251899992
Update 57700 | last delta: 0.09087641099999999
Update 57800 | last delta: 0.03486784400999998
Update 57900 | last delta: 0.03486784400999998
Update 58000 | last delta: 0.07360989290999997
Update 58100 | last delta: 0.03874204889999999
Update 58200 | last delta: 0.03486784400999998
Update 58300 | last delta: 0.043046720999999954
Update 58400 | last delta: 0.043046720999999954
Update 58500 | last delta: 0.06624890361899993
Update 58600 | last delta: 0.03486784400999998
Update 58700 | last delta: 0.10097379000000006
Update 58800 | last delta: 0.03874204889999999
Update 58900 | last delta: 0.03486784400999998
Update 59000 | last delta: 0.043046720999999954
Update 59100 | last delta: 0.10097379000000006
Update 59200 | last delta: 0.08178876989999995
Update 59300 | last delta: 0.07360989290999997
Update 59400 | last delta: 0.07360989290999997
Update 59500 | last delta: 0.09087641099999999
Update 59600 | last delta: 0.03486784400999998
Update 59700 | last delta: 0.09087641099999999
