Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Puzzle
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
..............................Model Checking complete. No error nodes found.Total states: 181442

End of exploration 181441 | Exploration time: 14.784374045 seconds
Start learning (Prioritized Value Iteration)
Update 23300 | last delta: 33.938914897626596
Update 23400 | last delta: 34.47560278613415
Update 23500 | last delta: 33.89604355340979
Update 23600 | last delta: 33.88209020416828
Update 23700 | last delta: 33.86206549579203
Update 23800 | last delta: 33.83346585078438
Update 23900 | last delta: 33.8175203106328
Update 24000 | last delta: 33.79704652895515
Update 24100 | last delta: 33.778673354084965
Update 24200 | last delta: 33.7565023406353
Update 24300 | last delta: 33.73555029225726
Update 24400 | last delta: 33.71791531697568
Update 24500 | last delta: 33.693404338229676
Update 24600 | last delta: 33.67018395538589
Update 24700 | last delta: 33.649202274453295
Update 24800 | last delta: 33.629523907281914
Update 24900 | last delta: 33.60801780695895
Update 25000 | last delta: 33.59132694907321
Update 25100 | last delta: 33.57577316059846
Update 25200 | last delta: 33.55881672509103
Update 25300 | last delta: 33.54072401916767
Update 25400 | last delta: 33.52556840862854
Update 25500 | last delta: 33.5091150985349
Update 25600 | last delta: 33.49079534481518
Update 25700 | last delta: 33.472939100741954
Update 25800 | last delta: 33.45292689534042
Update 25900 | last delta: 33.43730274795373
Update 26000 | last delta: 33.420173317231416
Update 26100 | last delta: 33.40411146686447
Update 26200 | last delta: 33.387304380233516
Update 26300 | last delta: 34.3071450203382
Update 26400 | last delta: 33.352593779506094
Update 26500 | last delta: 33.33711678757561
Update 26600 | last delta: 33.32036965997752
Update 26700 | last delta: 33.29740955088004
Update 26800 | last delta: 33.282721935321646
Update 26900 | last delta: 33.26629921006342
Update 27000 | last delta: 33.252087831789424
Update 27100 | last delta: 33.24022147318687
Update 27200 | last delta: 33.23343675043575
Update 27300 | last delta: 33.22117576368121
Update 27400 | last delta: 33.20474776302487
Update 27500 | last delta: 33.189271899160225
Update 27600 | last delta: 34.96515321319083
Update 27700 | last delta: 33.15346124259786
Update 27800 | last delta: 33.135234414126906
Update 27900 | last delta: 33.10523860628893
Update 28000 | last delta: 36.19580385937162
Update 28100 | last delta: 33.084073489017115
Update 28200 | last delta: 33.068068586958944
Update 28300 | last delta: 33.050483879223215
Update 28400 | last delta: 33.03508820900383
Update 28500 | last delta: 33.01369491850081
Update 28600 | last delta: 32.995320346101586
Update 28700 | last delta: 32.97534779178732
Update 28800 | last delta: 32.956634881089165
Update 28900 | last delta: 32.9390276143124
Update 29000 | last delta: 32.91733642903794
Update 29100 | last delta: 32.902455798117316
Update 29200 | last delta: 32.884969624266745
Update 29300 | last delta: 32.86859446060676
Update 29400 | last delta: 32.85158680761516
Update 29500 | last delta: 32.82985477562244
Update 29600 | last delta: 32.81219385288116
Update 29700 | last delta: 32.80052789963921
Update 29800 | last delta: 32.776598533409796
Update 29900 | last delta: 32.76382106059846
Update 30000 | last delta: 32.75031383958048
Update 30100 | last delta: 32.7310788154665
Update 30200 | last delta: 32.71224788924861
Update 30300 | last delta: 32.69723920416828
Update 30400 | last delta: 33.38303761083433
Update 30500 | last delta: 32.67444990454609
Update 30600 | last delta: 32.65995162915858
Update 30700 | last delta: 32.64082521229986
Update 30800 | last delta: 32.62793908972917
Update 30900 | last delta: 32.614547008762536
Update 31000 | last delta: 32.591369659977524
Update 31100 | last delta: 32.576562473186875
Update 31200 | last delta: 32.56099100480603
Update 31300 | last delta: 32.54427298672239
Update 31400 | last delta: 32.534750327013775
Update 31500 | last delta: 32.5223293797915
Update 31600 | last delta: 32.511870785225746
Update 31700 | last delta: 32.49833195200835
Update 31800 | last delta: 32.48615598550828
Update 31900 | last delta: 32.47177095954921
Update 32000 | last delta: 32.45336784290189
Update 32100 | last delta: 32.43839624738857
Update 32200 | last delta: 32.41999562416364
Update 32300 | last delta: 32.40063181082758
Update 32400 | last delta: 32.387852255572554
Update 32500 | last delta: 32.38071926158438
Update 32600 | last delta: 32.36436721156199
Update 32700 | last delta: 32.34815415452578
Update 32800 | last delta: 32.33291054717851
Update 32900 | last delta: 32.31774110705122
Update 33000 | last delta: 32.30229383958048
Update 33100 | last delta: 32.88546841913778
Update 33200 | last delta: 32.64906627714422
Update 33300 | last delta: 32.25614176328771
Update 33400 | last delta: 32.25128177892489
Update 33500 | last delta: 33.33516697212838
Update 33600 | last delta: 32.23343269397978
Update 33700 | last delta: 32.60279117518576
Update 33800 | last delta: 32.20644963301283
Update 33900 | last delta: 32.18752109041116
Update 34000 | last delta: 32.17280455158782
Update 34100 | last delta: 32.15948107075624
Update 34200 | last delta: 32.14485721156199
Update 34300 | last delta: 32.13485403033925
Update 34400 | last delta: 32.12301156776569
Update 34500 | last delta: 32.20729499518499
Update 34600 | last delta: 32.096102759882264
Update 34700 | last delta: 32.08355842196289
Update 34800 | last delta: 32.0663764260112
Update 34900 | last delta: 32.053042242747274
Update 35000 | last delta: 33.96132114879031
Update 35100 | last delta: 34.860647324555146
Update 35200 | last delta: 32.016909360384076
Update 35300 | last delta: 32.00361647767439
Update 35400 | last delta: 31.989735576852958
Update 35500 | last delta: 31.973879498054185
Update 35600 | last delta: 31.95888218490221
Update 35700 | last delta: 31.946093151235434
Update 35800 | last delta: 31.930817248689127
Update 35900 | last delta: 31.91494579869554
Update 36000 | last delta: 31.90207567146813
Update 36100 | last delta: 32.33563507134958
Update 36200 | last delta: 0.30352828835771106
Update 36300 | last delta: 31.857308863148653
Update 36400 | last delta: 31.843181376810275
Update 36500 | last delta: 31.826211687999006
Update 36600 | last delta: 31.807387580923834
Update 36700 | last delta: 31.794301243242472
Update 36800 | last delta: 31.769819710982258
Update 36900 | last delta: 31.756546884164212
Update 37000 | last delta: 31.735225426650725
Update 37100 | last delta: 31.7238938295813
Update 37200 | last delta: 31.70810344321459
Update 37300 | last delta: 31.694159923776404
Update 37400 | last delta: 31.682007140732317
Update 37500 | last delta: 31.67048858371493
Update 37600 | last delta: 31.654806401593724
Update 37700 | last delta: 31.640341572041923
Update 37800 | last delta: 31.626405750435744
Update 37900 | last delta: 31.60930093054504
Update 38000 | last delta: 31.59379118972915
Update 38100 | last delta: 31.5805947215666
Update 38200 | last delta: 31.567231773696662
Update 38300 | last delta: 31.557605030244478
Update 38400 | last delta: 31.544272986722387
Update 38500 | last delta: 31.529120735772977
Update 38600 | last delta: 31.516674768084762
Update 38700 | last delta: 31.503890046484976
Update 38800 | last delta: 31.4860926826566
Update 38900 | last delta: 31.47302729127629
Update 39000 | last delta: 31.458250013126904
Update 39100 | last delta: 31.449482932396748
Update 39200 | last delta: 31.43461314934421
Update 39300 | last delta: 31.42239647976602
Update 39400 | last delta: 31.410091565193337
Update 39500 | last delta: 31.39643466211151
Update 39600 | last delta: 31.385768279569522
Update 39700 | last delta: 31.375400226717385
Update 39800 | last delta: 31.364393152416685
Update 39900 | last delta: 31.353324859694755
Update 40000 | last delta: 31.33644550207283
Update 40100 | last delta: 31.323619721197254
Update 40200 | last delta: 31.31396746178233
Update 40300 | last delta: 31.301798988505094
Update 40400 | last delta: 31.289293703258274
Update 40500 | last delta: 32.01338029500284
Update 40600 | last delta: 31.25892749479748
Update 40700 | last delta: 31.247009307763236
Update 40800 | last delta: 31.2290276143124
Update 40900 | last delta: 31.21690159246066
Update 41000 | last delta: 31.207294995184988
Update 41100 | last delta: 31.19290669298609
Update 41200 | last delta: 31.178314369329723
Update 41300 | last delta: 31.16806858695894
Update 41400 | last delta: 31.15239245910091
Update 41500 | last delta: 31.13458395548032
Update 41600 | last delta: 31.11745884238487
Update 41700 | last delta: 31.103575637549614
Update 41800 | last delta: 31.092265801742514
Update 41900 | last delta: 31.079150709502564
Update 42000 | last delta: 31.064667988587942
Update 42100 | last delta: 31.052328590050156
Update 42200 | last delta: 31.042300787775723
Update 42300 | last delta: 31.03115014626992
Update 42400 | last delta: 31.02036519490975
Update 42500 | last delta: 31.009150956115164
Update 42600 | last delta: 30.99696022861493
Update 42700 | last delta: 31.9319932986611
Update 42800 | last delta: 30.971920629158575
Update 42900 | last delta: 30.96051031778626
Update 43000 | last delta: 30.952624066914222
Update 43100 | last delta: 30.94298090488273
Update 43200 | last delta: 30.929797182318353
Update 43300 | last delta: 30.91417774907753
Update 43400 | last delta: 30.901110369233887
Update 43500 | last delta: 30.889669289057082
Update 43600 | last delta: 30.878842234230305
Update 43700 | last delta: 30.870100226853634
Update 43800 | last delta: 30.86035970247632
