Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 2830 | Exploration time: 1.69909295 seconds
Start learning (Prioritized Value Iteration)
Update 24800 | last delta: 63.30468758042116
Update 24900 | last delta: 61.69418962342388
Update 25000 | last delta: 59.86382486436014
Update 25100 | last delta: 57.27490480189181
Update 25200 | last delta: 56.57212292193981
Update 25300 | last delta: 55.199766683233975
Update 25400 | last delta: 52.450999739399776
Update 25500 | last delta: 51.27679694014114
Update 25600 | last delta: 49.97229359497396
Update 25700 | last delta: 48.48969814013026
Update 25800 | last delta: 46.25546659887004
Update 25900 | last delta: 44.975064235476566
Update 26000 | last delta: 43.2600810153599
Update 26100 | last delta: 41.62991993898231
Update 26200 | last delta: 40.477557811928364
Update 26300 | last delta: 39.13466453532669
Update 26400 | last delta: 37.466927945083626
Update 26500 | last delta: 36.42980203073603
Update 26600 | last delta: 35.10298426376039
Update 26700 | last delta: 33.72023515057481
Update 26800 | last delta: 10.100761778618107
Update 26900 | last delta: 31.593072377294448
Update 27000 | last delta: 31.26286778100257
Update 27100 | last delta: 30.278435825184374
Update 27200 | last delta: 28.715421238714953
Update 27300 | last delta: 28.13658100290195
Update 27400 | last delta: 27.31339047196161
Update 27500 | last delta: 45.59025848696456
Update 27600 | last delta: 44.65603935032232
Update 27700 | last delta: 36.17139187376142
Update 27800 | last delta: 32.55425268638464
Update 27900 | last delta: 30.154085948961438
Update 28000 | last delta: 26.408099456587024
Update 28100 | last delta: 39.13442232284433
Update 28200 | last delta: 31.698882081504053
Update 28300 | last delta: 28.52899387335492
Update 28400 | last delta: 43.48269146982784
Update 28500 | last delta: 26.277111266369502
Update 28600 | last delta: 25.676094486017973
Update 28700 | last delta: 25.322922902610117
Update 28800 | last delta: 24.42480961865658
Update 28900 | last delta: 23.108628061465026
Update 29000 | last delta: 22.79063061235138
Update 29100 | last delta: 5.9643988226562215
Update 29200 | last delta: 21.537388749164165
Update 29300 | last delta: 20.79763653367263
Update 29400 | last delta: 20.51156755111515
Update 29500 | last delta: 19.803205494543818
Update 29600 | last delta: 19.026806585528902
Update 29700 | last delta: 18.460410796005817
Update 29800 | last delta: 18.46041079600127
Update 29900 | last delta: 17.805686212000182
Update 30000 | last delta: 16.846085592276722
Update 30100 | last delta: 16.614369716403417
Update 30200 | last delta: 16.025117590802438
Update 30300 | last delta: 15.145377855467359
Update 30400 | last delta: 14.95293274476262
Update 30500 | last delta: 20.415505176886654
Update 30600 | last delta: 16.536559193278663
Update 30700 | last delta: 14.482081992031908
Update 30800 | last delta: 19.41709248850566
Update 30900 | last delta: 26.266935947378443
Update 31000 | last delta: 17.47538323965273
Update 31100 | last delta: 13.457639470287177
Update 31200 | last delta: 13.394612946556663
Update 31300 | last delta: 12.980345248551203
Update 31400 | last delta: 12.111875523259187
Update 31500 | last delta: 12.055151651900815
Update 31600 | last delta: 11.682310723694172
Update 31700 | last delta: 10.900687970932495
Update 31800 | last delta: 10.849636486708732
Update 31900 | last delta: 5.635871222344576
Update 32000 | last delta: 9.81061917383795
Update 32100 | last delta: 9.462671686193062
Update 32200 | last delta: 1.2280168258603226
Update 32300 | last delta: 8.829557256454791
Update 32400 | last delta: 8.769979209089797
Update 32500 | last delta: 6.208458893310308
Update 32600 | last delta: 7.946601530808948
Update 32700 | last delta: 7.892981288181545
Update 32800 | last delta: 7.500573182092239
Update 32900 | last delta: 7.1519413777277805
Update 33000 | last delta: 7.103683159364664
Update 33100 | last delta: 6.898287659233574
Update 33200 | last delta: 6.436747239955366
Update 33300 | last delta: 6.393314843428016
Update 33400 | last delta: 6.208458893311217
Update 33500 | last delta: 5.793072515960375
Update 33600 | last delta: 5.7659416641317875
Update 33700 | last delta: 8.821234786413697
Update 33800 | last delta: 5.483960431334708
Update 33900 | last delta: 5.189347497721428
Update 34000 | last delta: 5.178585023175401
Update 34100 | last delta: 5.028851703581495
Update 34200 | last delta: 4.692388737928013
Update 34300 | last delta: 4.660726520859498
Update 34400 | last delta: 4.5887361652848995
Update 34500 | last delta: 4.442007949379331
Update 34600 | last delta: 4.203371473152572
Update 34700 | last delta: 4.194653868769819
Update 34800 | last delta: 4.073369879899474
Update 34900 | last delta: 3.8008348777207175
Update 35000 | last delta: 3.7751884818944745
Update 35100 | last delta: 6.904256687008456
Update 35200 | last delta: 3.942526171391364
Update 35300 | last delta: 3.598026439000023
Update 35400 | last delta: 3.4047308932540545
Update 35500 | last delta: 3.3451886644943443
Update 35600 | last delta: 3.2994296027191012
