Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.424768353 seconds
Start learning (Prioritized Value Iteration)
Update 21900 | last delta: 130.08702041190736
Update 22000 | last delta: 127.65548732010029
Update 22100 | last delta: 123.24168776381953
Update 22200 | last delta: 121.57665459056807
Update 22300 | last delta: 120.75983486443147
Update 22400 | last delta: 119.37425821014403
Update 22500 | last delta: 117.07831837071535
Update 22600 | last delta: 114.88993858809044
Update 22700 | last delta: 110.30341588201281
Update 22800 | last delta: 108.6838513779885
Update 22900 | last delta: 107.43683238912968
Update 23000 | last delta: 105.370486533644
Update 23100 | last delta: 103.40094472928286
Update 23200 | last delta: 99.27307429381108
Update 23300 | last delta: 97.81546624018938
Update 23400 | last delta: 65.52462033150186
Update 23500 | last delta: 93.80013424018944
Update 23600 | last delta: 91.0093273358043
Update 23700 | last delta: 88.62938119652426
Update 23800 | last delta: 87.09926282250854
Update 23900 | last delta: 83.7547652307203
Update 24000 | last delta: 80.05504592313446
Update 24100 | last delta: 79.23052765455213
Update 24200 | last delta: 76.7026943074884
Update 24300 | last delta: 73.7175551420014
Update 24400 | last delta: 71.78979876918493
Update 24500 | last delta: 70.5504028862324
Update 24600 | last delta: 67.1518030971938
Update 24700 | last delta: 64.65182398312481
Update 24800 | last delta: 62.87470630879625
Update 24900 | last delta: 59.71121966502096
Update 25000 | last delta: 57.75905466016866
Update 25100 | last delta: 55.468566461784576
Update 25200 | last delta: 53.07494246851638
Update 25300 | last delta: 51.98314919415225
Update 25400 | last delta: 49.92170981560594
Update 25500 | last delta: 47.76744822166438
Update 25600 | last delta: 46.78483427473657
Update 25700 | last delta: 42.99070339950049
Update 25800 | last delta: 42.54453366043617
Update 25900 | last delta: 42.10635084726164
Update 26000 | last delta: 38.69163305954771
Update 26100 | last delta: 38.29008029439137
Update 26200 | last delta: 34.84799238729647
Update 26300 | last delta: 31.34022277823169
Update 26400 | last delta: 33.99182553236096
Update 26500 | last delta: 31.34022277823533
Update 26600 | last delta: 31.014965038457376
Update 26700 | last delta: 44.18984261350852
Update 26800 | last delta: 50.30218853877432
Update 26900 | last delta: 34.85756719951314
Update 27000 | last delta: 35.79377251694132
Update 27100 | last delta: 30.743929869416206
Update 27200 | last delta: 39.64409226083717
Update 27300 | last delta: 43.98288713886177
Update 27400 | last delta: 54.299860665260894
Update 27500 | last delta: 32.06352472423214
Update 27600 | last delta: 28.86299569609423
Update 27700 | last delta: 46.500957827741786
Update 27800 | last delta: 27.91346853461164
Update 27900 | last delta: 35.793772516943136
Update 28000 | last delta: 35.62613858247914
Update 28100 | last delta: 26.093660164851826
Update 28200 | last delta: 25.12212168115184
Update 28300 | last delta: 24.90258319422719
Update 28400 | last delta: 23.374309523963348
Update 28500 | last delta: 22.609909513033926
Update 28600 | last delta: 39.58459842497905
Update 28700 | last delta: 35.05582116007099
Update 28800 | last delta: 28.85717225180997
Update 28900 | last delta: 35.55225156494271
Update 29000 | last delta: 48.59328758123968
Update 29100 | last delta: 32.06352472423532
Update 29200 | last delta: 25.971455026630792
Update 29300 | last delta: 21.036878571570924
Update 29400 | last delta: 20.892048978037565
Update 29500 | last delta: 20.17109238732337
Update 29600 | last delta: 18.933190714414195
Update 29700 | last delta: 18.314026705558717
